Cause,Title,No_of_victims
Struck By Moving Objects, Employee'S Arm Is Injured When Caught In Conveyer ,Single
Struck By Moving Objects, Employee'S Finger Is Injured When Caught In Machine ,Single
Falls, Employee'S Fingers Are Amputated While Cleaning Machine ,Single
Electrocution, Employee'S Fingers Are Amputated By Table Saw ,Single
Struck By Moving Objects, Employee'S Fingers Are Lacerated By Table Saw ,Single
Struck By Moving Objects, Employee Amputates Finger While Removing Frozen Debris ,Single
Falls, Employee'S Fingers Are Injured By Saw ,Single
Struck By Moving Objects, Employee'S Left Thumb Is Injured By Meat Saw ,Single
Struck By Moving Objects, Employee'S Fingers Are Injured While Cleaning Machine ,Single
Collapse of object, Employee Fractures Legs In Fall From Ladder ,Single
Struck By Moving Objects, Employee Falls From Palm Tree And Dies Later ,Single
Struck By Moving Objects, Employee Is Struck By Wood  Falls Off Ladder And Is Injured ,Single
Struck By Moving Objects, Painter Falls From Ladder And Fractures Wrist And Hip ,Single
Struck By Moving Objects, Employee Fractures Back In Fall From Ladder ,Single
Falls, Employee Falls From Ladder And Later Dies ,Single
Struck By Moving Objects, Employee Falls From Ladder And Is Injured ,Single
Caught in/between Objects, Employee Falls From Cotton Mill And Breaks His Leg ,Single
Struck By Moving Objects, Employee Injured Falling From Ladder ,Single
Struck By Moving Objects, Employee Fractures Lower Back In Fall From Ladder ,Single
Struck By Moving Objects, Employee Falls When Ladder Slides Backward ,Single
Struck By Moving Objects, Alarm System Worker Fractures Feet When Ladder Falls ,Single
Struck By Moving Objects, Employee Is Struck In Face With High Pressure Washer ,Single
Other, Employee Falls From Roof  Later Dies ,Single
Struck By Moving Objects, Employee Suffers Eyeball Laceration From Broken Glass ,Single
Struck By Moving Objects, Construction Worker Blinded When Test Plug Burst ,Single
Struck By Moving Objects, Employee Injures Eye When Hydraulic Jack Kicks Back ,Single
Struck By Moving Objects, Employee Is Injured When Hit In Eye With Nail ,Single
Struck By Moving Objects, Employee Is Injured In Fall From Roof ,Single
Struck By Moving Objects, Employee Sustains Head/Other Fractures After Hit By Vehicle ,Single
Struck By Moving Objects, Employee Trips And Falls  Suffers Face And Eye Injury ,Single
Struck By Moving Objects, Worker Sustains Multiple Fractures In Fall From Icy Roof ,Single
Falls, Employee Is Struck By Palletizer Machine And Is Injured ,Single
Struck By Moving Objects, Employee Is Run Over By Forklift  Fractures Ribs ,Single
Struck By Moving Objects, Employee Suffers Burns To The Body ,Single
Struck By Moving Objects, Employee Faints Harvesting Olives ,Single
Falls, Employee Faints And Is Hospitalized ,Single
Struck By Moving Objects, Employee Faints Picking Berries  Possibly Suffering A Stroke ,Single
Other, Employee Faints While Talking To Coworker ,Single
Struck By Moving Objects, Employee Feels Dizzy And Faints From Heat Exhaustion ,Single
Struck By Moving Objects, Employee Faints Due To Heat Exhaustion ,Single
Struck By Moving Objects, Employee Faints While Hoeing Weeds In Potato Field ,Single
Falls, Employee Faints At Nursery  Later Dies ,Single
Struck By Moving Objects, Employee Fainted ,Single
Struck By Moving Objects, Employee Passes Out While Walking Uphill ,Single
Struck By Moving Objects, Employee Faints While Performing Physical Training ,Single
Struck By Moving Objects, Welder Faints And Taken To Hospital For Treatment ,Single
Caught in/between Objects, Farm Worker Faints While Pruning Trees ,Single
Struck By Moving Objects, Worker Fractures Foot In Fall From Ladder ,Single
Struck By Moving Objects, Employee Falls From Ladder And Later Dies ,Single
Struck By Moving Objects, Foreman Fractures Spine In Fall From Mobile Home Roof ,Single
Struck By Moving Objects, Employee Falls From Stepladder And Is Injured ,Single
Struck By Moving Objects, Employee Falls From Single Story Roof And Later Dies ,Single
Struck By Moving Objects, Employee Falls From Tree And Later Dies ,Single
Struck By Moving Objects, Worker Is Injured In A Three Story Fall From Scaffolding ,Single
Struck By Moving Objects, Two Large 700 Pound Slabs Of Quartz Fall And Strike Worker ,Single
Struck By Moving Objects, Employee Is Crushed And Killed By Falling Industrial Truck ,Single
Other, Employee Injures Wrist When Struck By Falling Machine Part ,Single
Struck By Moving Objects, Employee Amputates Finger In Fan Belt ,Single
Other, Employee Loses Fingertip In Pulley Fan ,Single
Struck By Moving Objects, Employee Fractures Hand When Caught Between Chain And Fan ,Single
Struck By Moving Objects, Employee Loses Part Of His Finger In Fan Belt ,Single
Struck By Moving Objects, Worker Cuts Finger In Production Line Fan Opening ,Single
Struck By Moving Objects, Farm Worker Amputates Finger In Grape Harvester Blower ,Single
Struck By Moving Objects, Employee'S Hand Injured After Contacting Spinning Molder Hea ,Single
Struck By Moving Objects, Employee Sustains Right Middle Fingertip Amputation ,Single
Other, Employee'S Thumb Is Amputated By Cooling Fan Belt ,Single
Falls, Employee Falls Through Drum Fan And Is Killed ,Single
Falls, Employee'S Fingers Are Amputated By Machine ,Single
Falls, Employee Suffers Multiple Fractures From Fall From Manway ,Single
Struck By Moving Objects, Employees Fingers Are Amputated By Fan Belt ,Multiple
Falls, Worker Amputates Finger In Belts Of Cooling Unit ,Single
Struck By Moving Objects, Employee Amputates Finger While Clearing Cooling Fan ,Single
Struck By Moving Objects, Employee'S Finger Is Amputated By Belt And Pulley ,Single
Struck By Moving Objects, Employee'S Two Fingers Are Amputated Between Belt And Pulley ,Single
Struck By Moving Objects, Employee'S Finger Is Caught In Motor And Is Amputated ,Single
Struck By Moving Objects, Truck Driver Finger Is Amputated By Radiator Fan Blade ,Single
Struck By Moving Objects, Employee'S Finger Is Amputated By Fan Motor ,Single
Struck By Moving Objects, Employee Amputates Finger In Belt And Pulley System ,Single
Falls, Employee'S Finger Is Severed During Fan Repair ,Single
Struck By Moving Objects, Automotive Technician Amputates Fingers While Setting Timing ,Single
Struck By Moving Objects, Employee Lacerates Thumb On Spinning Fan Blade ,Single
Struck By Moving Objects, Employee Fractures Hand In Walnut Sweeper Machine ,Single
Electrocution, Employee'S Hand Caught By Engine Parts  Amputates Fingers ,Single
Struck By Moving Objects, Worker Servicing Chiller Unit Amputates Finger ,Single
Electrocution, Machine Operator Loses Finger Tip In Fan Blade ,Single
Caught in/between Objects, Vineyard Employee Fractures Finger In Harvester Fan ,Single
Struck By Moving Objects, Employee'S Finger Is Amputated By Fan Blade ,Single
Other, Employee'S Thumb Is Amputated By Harvester Fan ,Single
Struck By Moving Objects, Mechanic'S Finger Is Amputated By Fan Blade ,Single
Struck By Moving Objects, Rotating Fan Blades Amputate Worker'S Finger ,Single
Falls, Employee Amputates Hand In Rotating Fan Blades ,Single
Falls, Employee Amputates Finger Dismantling Implement ,Single
Struck By Moving Objects, Employee'S Hand Is Caught In Picker And Is Injured ,Single
Other, Employee Fractures Finger On Machine Clamp  Later Amputated ,Single
Struck By Moving Objects, Employee Is Run Over By Planter Machine  Pronounced Dead ,Single
Falls, Employee Is Crushed By Farm Equipment And Later Dies ,Single
Struck By Moving Objects, Employee Punctures Skull With Wire When Pulled From Tire ,Single
Other, Farm Worker Collapses Later Dies Possible Heat Related ,Single
Caught in/between Objects, Ten Woodland Firefighters Are Injured In Traffic Accident ,Multiple
Struck By Moving Objects, Employee Feels Lightheaded While Picking Grapes ,Single
Falls, Employee Is Treated For Heat,Single
Falls, Employee Collapses An Dies During Crop Harvesting ,Single
Struck By Moving Objects, Employee Drowns In Manure Slurry Pit ,Single
Falls, Driver Is Killed In Vehicle Accident ,Single
Struck By Moving Objects, Employee Experiences Heat Exhaustion On Multiple Days ,Single
Other, Employee Experiences Heat Exhaustion ,Single
Other, Employee Experiences Heat Exhaustion During Training ,Single
Falls, Employee Suffers From Possible Dehydration ,Single
Other, Employee Is Hospitalized From Heat Exhaustion ,Single
Falls, Employee Collapses From Heat Exhaustion ,Single
Other, Employee Experiences Heat Stress ,Single
Struck By Moving Objects, Employee Experiences Nauseau And Fatigue While Working ,Single
Struck By Moving Objects, Employee Is Hospitalized For Heat Stress ,Single
Other, Employee Amputates Finger While Oeprating Machinery ,Single
Other, Employee'S Fingertip Is Amputated In Rip Saw Feed Chain ,Single
Struck By Moving Objects, Employee Is Injured When Leg Is Caught In Machine ,Single
Falls, Employee'S Fingers Amputated By Irvington Trimmer ,Single
Falls, Employee'S Finger Injured When Caught In Wrapping Machine ,Single
Electrocution, Employee'S Finger Amputated In Wood Shaper ,Single
Struck By Moving Objects, Employee'S Hand And Fingers Amputated In Trim Saw ,Single
Fires and Explosion, Fingers Pinched By Feed Roll On Rip Saw ,Single
Falls, Employee Amputates Index Finger In Hopper Table ,Single
Other, Employee'S Foot Injured When Caught In Trim Saw System ,Single
Fires and Explosion, Caught In Machinery ,Single
Electrocution, Employee Amputates Fingers In Feeder Mill Roller ,Single
Struck By Moving Objects, Employee Falls From Platform On Elevated Forklift And Dies ,Single
Struck By Moving Objects, Employee Is Killed After Falling Into Feed Blender ,Single
Struck By Moving Objects, Employee Amputates A Finger In A Feed Chopper ,Single
Struck By Moving Objects, Employee Degloves Hand In Roller Mill ,Single
Struck By Moving Objects, Employee Amputates Four Fingers In Rice Mill ,Single
Struck By Moving Objects, Employee Contacts Moving Part Of Machine  Fractures Finger ,Single
Electrocution, Employee Is Suffocated When Pile Of Animal Feed Collapses ,Single
Struck By Moving Objects, Employee Lacerates Legs When Caught In Farm Machinery ,Single
Struck By Moving Objects, Employee Loses Control Of Hose And Is Burned By Hot Water ,Single
Struck By Moving Objects, Three Employees Are Among Those Burned In Grain Explosion ,Multiple
Struck By Moving Objects, Employee'S Arm Amputated After Being Caught In Auger ,Single
Fires and Explosion, Employee Killed While Mixing Feed For Cattle ,Single
Other, Employee'S Finger Is Injured In Feed Mill ,Single
Other, One Employee Killed  Three Burned  In Grain Dust Explosion ,Single
Other, Employee Injured When Finger Lacerated By Auger ,Single
Other, Employee Is Injured In Vehicular Crash ,Single
Caught in/between Objects, One Employee Killed  One Burned When Truck Runs Into Tree ,Single
Caught in/between Objects, Employee Is Killed In Car Crash ,Single
Other, Employee Is Not Injured  Falls Asleep Operating Vehicle ,Single
Struck By Moving Objects, Driver Falls Asleep And Is Killed Iwhen Truck Rolls,Single
Struck By Moving Objects, Employee Struck And Killed By Motor Vehicle ,Single
Struck By Moving Objects, Employee Injured When Struck By Vehicle ,Single
Caught in/between Objects, Employee Falls From Bucket ,Single
Struck By Moving Objects, Employee Killed When Struck By Loader Grapple Attachment ,Single
Struck By Moving Objects, Employee Dies  One Injured In Traffic Accident ,Single
Electrocution, Employee Dies  One Hurt When Run Over By Truck While Napping ,Single
Falls, Employee Killed When Struck By Motor Vehicle ,Single
Other, Employee Killed In Automotive Shop Fire ,Single
Struck By Moving Objects, Employee Found Dead After Being Told To Go Home ,Single
Struck By Moving Objects, Employee Killed When Crushed Under Truck'S Rear Wheel ,Single
Suffocation, Employee Killed In Vehicle Accident ,Single
Caught in/between Objects, Employee Killed When Run Over By Earth Moving Equipment ,Single
Struck By Moving Objects, Employee Killed When He Falls Asleep While Driving Tow Truck ,Single
Struck By Moving Objects, Employee Struck By Truck While Sleeping In Tall Grass ,Single
Fires and Explosion, Logging Firm Worker Is Killed When Tree Is Lowered ,Single
Struck By Moving Objects, Employee Is Fatally Burned While Fighting Equipment Fire ,Single
Falls, Employee Is Injured When Struck By Falling Tree ,Single
Falls, Employee Is Killed When Struck By Felling Tree ,Single
Caught in/between Objects, Employee Comes Into Contact With Rotating Tree Saw Blade ,Single
Other, Employee Killed By Fallen Tree ,Single
Other, Employee Is Killed By Falling Tree ,Single
Fires and Explosion, Employee Killed When Caught In Logging Machine ,Single
Struck By Moving Objects, Employee Injured From Falling Tree Limb ,Single
Falls, Employee Killed When Struck By Tree Section ,Single
Fires and Explosion, Employee Killed When Crushed In Log Buncher ,Single
Fires and Explosion, Employee Injured When Struck By Falling Tree ,Single
Suffocation, Employee Killed When Struck By Flying Piece Of Wood ,Single
Struck By Moving Objects, Employee Killed When Struck By Falling Tree ,Single
Fires and Explosion, Skidder Operator Killed When Struck By Tree ,Single
Falls, Employee Dies Of Fractured Neck In Equipment Roll,Single
Fires and Explosion, Employee Killed When Fell Buncher Overturns ,Single
Fires and Explosion, Struck By Falling Tree ,Single
Fires and Explosion, Crushed Between Truck And Feller,Single
Fires and Explosion, Struck By Falling Tree ,Single
Fires and Explosion, Worker Is Run Over By Forklift And His Leg Is Fractured ,Single
Fires and Explosion, Employee Is Crushed Between Gate And Cattle  Later Dies ,Single
Struck By Moving Objects, Gate Falls On Employee Suffers From Spinal And Rib Injuries ,Single
Falls, Employee Found Pinned Between Vehicle And Fence  Dies ,Single
Struck By Moving Objects, Employee Gets His Leg Struck ,Single
Falls, Employee Fractures Leg When He Strikes Fence Post ,Single
Struck By Moving Objects, Employee Dies In Powerline Accident ,Single
Falls, Employee Falls While Monitoring Fencing ,Single
Falls, Employee Suffers Eye Injury From Snapped Wire ,Single
Falls, Employee Is Killed In Collision Of Farm Vehicle With Gate ,Single
Struck By Moving Objects, Employee Finger Is Amputated In Lift Equipment ,Single
Struck By Moving Objects, Worker'S Hands Are Crushed In Attempt To Straighten Post ,Single
Caught in/between Objects, Employee Is Struck And Killed By Falling Log ,Single
Struck By Moving Objects, Employee Fractures Pelvis When Atv Overturns ,Single
Falls, Employee Falls From Ferris Wheel  Or Is Trapped And Killed ,Single
Falls, Employee Is Electrocuted While Working Of Ferris Wheel ,Single
Struck By Moving Objects, Employee Is Killed When He Falls From Ferris Wheel ,Single
Other, One Killed  One Injured When Ferris Wheel Collapses ,Single
Caught in/between Objects, Employee Killed In Fall From Ferris Wheel ,Single
Struck By Moving Objects, Employee Falls While Dismantling Ferris Wheel ,Single
Electrocution, Employee Killed In Fall From Ferris Wheel ,Single
Electrocution, Employee Injured When Caught Between Ferris Wheel Seats ,Single
Electrocution, Employee Killed In Fall Into Moving Ferris Wheel ,Single
Electrocution, Caught In Crossbars Of Ferris Wheel Being Set Up. ,Single
Electrocution, Employee Amputates Finger When His Hand Met With Pulley Belt ,Single
Fires and Explosion, Employee Is Caught In Fertilizer Mixer  Later Dies ,Single
Electrocution, Employee Dies From Herbicide Poisoning ,Single
Electrocution, Farn Tractor Driver Injures Thumb And Requires Amputation ,Single
Electrocution, Employee Dies After Falling From Hopper ,Single
Fires and Explosion, Two Employees Are Asphyxiated In Ferterlizer Bin ,Multiple
Electrocution, Employee Sustain Chemical Burns From Aqua Ammonia ,Single
Falls, Employee Killed When Buried By Soil In Hopper ,Single
Struck By Moving Objects, One Employee Killed  Two Injured In Liquid Chemical Leak ,Single
Electrocution, Employee Receives Chemical Burn ,Single
Struck By Moving Objects, Employee'S Finger Amputated In Fertilizer Shed ,Single
Electrocution, Employee Crushed To Death When Caught In Capstan ,Single
Electrocution, Buried By Potash From Damaged Storage Bin ,Single
Electrocution, Employee Is Assaulted And Sustains Fractures ,Single
Electrocution, Employee Is Killed From Gun Shot ,Single
Electrocution, Worker Suffers Non,Single
Electrocution, Employee Is Punched But Sustained No Injuries ,Single
Falls, Employee Is Killed When Stabbed By Patron ,Single
Falls, Employee'S Leg Is Fractured During Fight With Customer ,Single
Falls, Combative Inmate Injures Two Prison Guards ,Multiple
Falls, Employee With Heart Condition Is Hospitalized After Argument ,Single
Falls, Employee Fractures Back When Suspect Pushes Him Onto Desk ,Single
Falls, Six Employees Killed And One Injured In Shooting ,Multiple
Falls, Employee Receives Burns In Flash Fire ,Single
Falls, Four Employees Receive Injuries While Fighting House Fire ,Multiple
Falls, Employee Treated For Possible Exposure To Hepatitis ,Single
Falls, Employee Fractures Jaw When Assaulted By Youths ,Single
Falls, Worker Falls Into Excavation ,Single
Falls, Employee Died Due To Gun Shot Wound ,Single
Fires and Explosion, Employee Injured While Jumping Out Of Trailer ,Single
Fires and Explosion, Employee Killed When Pushed Off Roof By Coworker ,Single
Fires and Explosion, Employee Injured When Assaulted By Two Event Attendees ,Single
Falls, Employee Dies Of Apparent Heart Attack After Scuffle ,Single
Struck By Moving Objects, Employee Is Shot With Gun During Response To Fire And Killed ,Single
Fires and Explosion, Employee Is Burned While Fighting Roofing Kettle Fire ,Single
Falls, Employee Suffers Dehydration While Fighting Fire ,Single
Falls, Nineteen Employees Killed In Fire ,Multiple
Caught in/between Objects, Employee Is Engulfed In Flames And Receives Multiple Burns ,Single
Falls, Firefighter Dies From Heart Attack At Fire Station ,Single
Struck By Moving Objects, Fire Department Worker Dies From Natural Causes ,Single
Other, Worker Suffers Serious Head Trama In Forklift Accident ,Single
Fires and Explosion, Fire Several Firefighters Injured In High,Single
Caught in/between Objects, Employee Is Killed  Two Are Injured In Vehicle Collision ,Single
Other, Employee Fractures Back In Fall From Ladder ,Single
Caught in/between Objects, Employee Dies When Trapped Under Collapsed Wall ,Single
Suffocation, Seventeen Employees Receives Injuries While Fighting A Fire ,Multiple
Suffocation, One Employee Killed And Second Injured While Fighting Fire ,Single
Suffocation, Employees Injured During Live Fire Training ,Multiple
Fires and Explosion, Five Employees Suffer Smoke Inhalation Fighting A Fire ,Multiple
Falls, Employee Killed By Heart Attack ,Single
Drowning, Thirteen Employees Injured Fighting Apartment Building Fire ,Multiple
Suffocation, Smoke Inhalation ,Single
Suffocation, Fire Fighters Possibly Exposed To Noxious Gas ,Single
Falls, Employee Bruised By Ruptured Water Hose ,Single
Fires and Explosion, Employee Killed When Struck On Top Of Head By Falling Pole ,Single
Suffocation, Worker Dies In Building Fire ,Single
Falls, Roofer Suffers Burns When Splashed By Hot Tar ,Single
Other, Employee Falls From Fire Escape  Is Killed ,Single
Struck By Moving Objects, Employee Killed In Four,Single
Struck By Moving Objects, Firefighters Burned During Training On Burning Structure ,Single
Other, Employee Falls From Platform; No Injury Reported ,Single
Falls, Employee Is Killed In Fall From Fire Escape ,Single
Struck By Moving Objects, Fire Kills Two Fire Fighters And Injures Four ,Multiple
Struck By Moving Objects, Employee Is Injured By Fall Through Fire Escape Opening ,Single
Caught in/between Objects, Employee Killed In Fall From Fire Escape ,Single
Struck By Moving Objects, Two Employees Injured In Fire Escape Collapse ,Multiple
Other, Employee Dies After 40 Ft Fall From Fire Escape ,Single
Struck By Moving Objects, Employee Killed In Fall From Fire Escape ,Single
Collapse of object, Smoke Inhalation ,Single
Drowning, Employee Dies In Fire  Others Severely Burned ,Single
Drowning, Burn ,Single
Drowning, Smoke Inhalation ,Single
Drowning, Smoke Inhalation ,Single
Other, Employee Killed In Fall Down Fire Escape ,Single
Struck By Moving Objects, Fire Fighters Injured In Separate Falls ,Single
Other, Employee'S Finger Tip Is Amputated By Machine ,Single
Other, Employee'S Foot Is Fractured By Scissor Lift ,Single
Struck By Moving Objects, Employee Is Struck By Sprinkler System Cap  Fractures Head ,Single
Struck By Moving Objects, Employee Is Injured In Fall From Height ,Single
Struck By Moving Objects, Employee Is Killed When Struck By Pipe In Vault ,Single
Other, Employee Dies After Fall From Ladder ,Single
Struck By Moving Objects, Employee Killed In Fall From Scissor Lift. ,Single
Struck By Moving Objects, Employee'S Lungs Injured From Smoke Inhalation ,Single
Struck By Moving Objects, Employee Injured By Flash Burns When Pump Arced Over ,Single
Struck By Moving Objects, Employees Suffer Smoke Inhalation ,Multiple
Struck By Moving Objects, Employee Dies From A Heart Attack While Carrying Fire Hose ,Single
Other, Employee Injured When Foot Slipped Into Fryer Of Hot Oil ,Single
Other, Employee Killed When Pipe Contacted Power Line ,Single
Struck By Moving Objects, Employee Cuts Finger And Develops Infection ,Single
Falls, Worker Inspecting Fire Extinguishers Dies After Fallling ,Single
Struck By Moving Objects, Employee Is Burned When Sparks Ignite Pants ,Single
Struck By Moving Objects, Employee Dies From Smoke Inhalation And Heat ,Single
Other, Employee Is Killed When Tank Explodes; Others Are Injured ,Single
Struck By Moving Objects, Three Employees Are Hospitalized Due To Smoke Inhalation ,Multiple
Caught in/between Objects, Employee Falls Into Harvester Auger  Later Dies ,Single
Other, Employee Is Burned When Vapors Ignite ,Single
Caught in/between Objects, Employee Is Burned While Misusing Flammable Liquid ,Single
Caught in/between Objects, Employee Slips From Scaffold During Descent And Is Injured ,Single
Other, Employee Dies In Smoke Stack Fire ,Single
Other, Worker Transporting Fire Extinguisher Fractures Leg ,Single
Struck By Moving Objects, Two Employees Are Burned Lighting Wood Burning Stove ,Multiple
Struck By Moving Objects, Employee Is Burned While Fighting Fuel Fire ,Single
Struck By Moving Objects, Employee Fractures Hand When Pipe Fell On Him ,Single
Fires and Explosion, Employee Is Hospitalized After Fire Extinguisher Strikes Him ,Single
Struck By Moving Objects, Firefighter Sustains Amputation In Training Exercise ,Single
Struck By Moving Objects, Employee Backed Over By Firetruck Dies At Hospital ,Single
Caught in/between Objects, Employee Is Crushed To Death By Tanker ,Single
Struck By Moving Objects, Burned Tree Falls  Strikes Water Truck And Worker ,Single
Other, Emergency Rescue Employee Is Found Unresponsive In Truck ,Single
Other, Employee'S Brain Is Injured In Fall From Fire Truck ,Single
Struck By Moving Objects, Four Employees Are Hospitalized After Motor Vehicle Accident ,Multiple
Other, Mechanic Is Injured In Fall From Fire Truck ,Single
Other, Employee Dies From Heart Attack ,Single
Falls, Employee Dies In Gas Line Explosion ,Single
Falls, Truck Driver Suffers From Heart Attack ,Single
Struck By Moving Objects, Firefighter Suffers From Heat Exhaustion ,Single
Struck By Moving Objects, Employee Is Killed When Truck Crashes And Burns ,Single
Falls, Employee Is Killed When Vehicle Rolls Over ,Single
Falls, Fire Fighter Is Injured In Fall ,Single
Falls, Employees Are Struck By Cannister  Are Injured ,Multiple
Falls, Employee Is Killed When Run Over By Fire Engine ,Single
Falls, Four Employees Are Injured When Two Fire Trucks Collide ,Multiple
Falls, Employee Contracts Mrsa Bacterial Infection In Knee Wound ,Single
Struck By Moving Objects, Four Employees Suffer Heat Exhaustion ,Multiple
Falls, Employee Is Struckand Killed By Vehicle ,Single
Struck By Moving Objects, Employee Suffers Heat Exhaustion While Putting Out A Wild Fi ,Single
Other, Employee Is Caught Between Two Vehicles  Later Dies ,Single
Other, Firefighter Amputates Finger In Log Splitter ,Single
Other, Employee Suffers Lung Spasms From Smoke Exsposure ,Single
Caught in/between Objects, One Firefighter Killed  Five Injured In Highway Accident ,Multiple
Other, Firefighter Injured In Fall At Training Site ,Single
Other, Worker Burned And Killed In A Fireworks Explosion ,Single
Caught in/between Objects, Employee Is Injured When Struck By Detonated Firework ,Single
Other, Five Employees Are Killed In Fire Works Explosion ,Multiple
Caught in/between Objects, Employee Is Killed When Struck By Firework Mortar ,Single
Struck By Moving Objects, Four Employees Are Killed  One Is Burned In Explosion ,Multiple
Other, Employee Suffers Burns In Fire Works Explosion ,Single
Falls, Two Employees Are Killed In Fire In Shipping Container ,Multiple
Fires and Explosion, Two Employees Die After Explosion In Pyrotechnic Facility ,Multiple
Other, Three Employees Die  Several Injured In Fireworks Explosion ,Multiple
Electrocution, Employee Killed When Struck By Firework Shell ,Single
Fires and Explosion, Employee Is Killed In Fireworks Explosion ,Single
Suffocation, Employee Injured When Box Of Pyrotechnics Explodes ,Single
Falls, Employee Killed In Fireworks Explosion ,Single
Other, One Employee Killed One Injured In Fireworks Explosion ,Single
Fires and Explosion, Employee Falls From Fixed Ladder And Is Injured ,Single
Suffocation, Worker Fractures Leg In Fall From Ladder On Storage Tank ,Single
Suffocation, Employee'S Foot Is Struck By Ladder  Receives Fractures ,Single
Collapse of object, Employee Falls Off Fixed Ladder And Is Injured ,Single
Fires and Explosion, Employee Falls From Fixed Ladder And Is Injured ,Single
Suffocation, Employee Falls From Ladder  Later Dies ,Single
Other, Employee Falls From Ladder Fracturing Spine ,Single
Suffocation, Employee Is Injured In Fall From Ladder ,Single
Suffocation, Employee Is Injured In Fall From Fixed Ladder ,Single
Suffocation, Worker Is Struck By Vehicle And Her Shoulder Is Fractured ,Single
Struck By Moving Objects, Employee Is Struck By Truck  Later Dies ,Single
Falls, Employee Suffers Leg Fracture When Struck By Vehicle ,Single
Falls, Employee Is Killed By Backing Pick Up Truck ,Single
Falls, Employee Is Killed After Hit By Vehicle ,Single
Struck By Moving Objects, Employee Is Killed When Run Over By Truck ,Single
Caught in/between Objects, Employee Is Injured When Struck By Vehicle ,Single
Struck By Moving Objects, Employee Is Killed When Struck By Truck ,Single
Fires and Explosion, Employee Is Struck By Automobile  Later Dies ,Single
Struck By Moving Objects, Employee Is Killed When Run Over By Truck ,Single
Struck By Moving Objects, Employee Is Killed When Struck By Motor Vehicle ,Single
Struck By Moving Objects, Employee Dies After Being Run Over Twice By Trailer ,Single
Falls, Two Employees Suffer Burns When Vapors Explodes ,Multiple
Other, Employee Burned When Desel Fuel Ignited  Later Died ,Single
Struck By Moving Objects, Foreman Is Burned When Fuel Ignites During Machine Refueling ,Single
Struck By Moving Objects, Worker Is Burned When Hydraulic Fluid Is Ignited By Welding ,Single
Struck By Moving Objects, Employee Is Burned While Drilling Into Spray Paint Can ,Single
Fires and Explosion, Employee Dies In Explosion ,Single
Struck By Moving Objects, Employee Dies In Explosion Of Battery ,Single
Other, Employee Is Killed In Truck Accident ,Single
Other, Welder Is Injured In Tanker Explosion ,Single
Other, Two Employees Suffer Non,Multiple
Exposure to extreme temperatures, Employees Get Severely Burned By Flash Fire ,Multiple
Other, Employee Sustains Multiple Burns While Spraying Coating ,Single
Other, Employee Sustains Burns When Vapors Ignite ,Single
Other, Restaurant Cook Is Burned In Flash Fire ,Single
Fires and Explosion, Employee Is Injured When Flash Fire Launches Shaft ,Single
Electrocution, Employee Is Burned In Flash Fire ,Single
Fires and Explosion, Employee Is Burned When Leaking Lp Gas Ignites ,Single
Other, Asphalt Worker Is Burned In Kettle Burner Explosion ,Single
Suffocation, One Employee Is Killed  Another Is Injured During Repair ,Single
Falls, Employee Burns Hand While Connecting Oxygen Tank To Manifold ,Single
Falls, Two Employees Are Burned When Flammable Vapors Ignite ,Multiple
Fires and Explosion, Employee Suffers Burns While Lighting Oxy,Single
Other, Employee Is Burned When Fixing Propane Leak On Gas Heater ,Single
Falls, Employee Sustains Burns In Flash Explosion ,Single
Struck By Moving Objects, Employee Sustains Burns In Electric Arc Flash ,Single
Struck By Moving Objects, Employee Is Burned While Relighting Stove Pilot ,Single
Falls, Employee Is Burned As She Attempts To Light Rotisserie ,Single
Electrocution, Employee Is Killed In Tank Explosion ,Single
Falls, Accumulating Propane Causes Flash Fire  Worker Is Burned ,Single
Falls, Employee Is Burned While Igniting Wood In Pizza Oven ,Single
Falls, Worker'S Face Is Burned During Glass Scoring Operations ,Single
Falls, Employee Fractures Foot When Caught Between Equipment ,Single
Struck By Moving Objects, Employee Is Electrocuted Whem Boom Controls Power Line ,Single
Falls, Employee'S Pelvic Is Fractured When Struck By Granite Slabs ,Single
Falls, Employee Is Killed By Shifted Load On Trailer ,Single
Falls, Employee'S Leg Is Fractured When Struck By Pallet Jack ,Single
Falls, Employee Trips And Falls From Flat Bed ,Single
Struck By Moving Objects, Employe Killed When Run Over By Forklift ,Single
Struck By Moving Objects, Employee Killed When Run Over By Tractor ,Single
Falls, Trailer Pins Employee Breaking His Leg ,Single
Falls, Employee Killed When Struck By In,Single
Falls, Employee'S Foot Amputated When Caught In Rail Car Coupling ,Single
Falls, Employee'S Leg Fractured When Struck By Shifting Timbers ,Single
Falls, Employee'S Hand Crushed By Falling Flatbed Rail Car ,Single
Falls, Employee Falls While Climbing A Bulkhead Flatcar Ladder ,Single
Falls, Employee Is Pinned Between Two Kiln Cars ,Single
Falls, Employee Killed When Hit By Falling Logs ,Single
Other, Employee Killed  Another Injured By Falling Bridge Section ,Single
Struck By Moving Objects, Employee Crushed Between 2 Trailers Being Loaded On Flatcar ,Single
Struck By Moving Objects, Cherry Picker Struck By Load On Flatbed Rail Car. ,Single
Struck By Moving Objects, Employee Is Struck By Flatbed Trailer And Later Dies ,Single
Struck By Moving Objects, Employee Fractures Leg When Struck By Duck Jack ,Single
Falls, Employee Is Run Over By Vehicle And Killed ,Single
Struck By Moving Objects, Employee Gets His Leg Struck By And Fractured By A Steel Bun ,Single
