Cause,Title
, Employee'S Glove Caught In Conveyor  Loses Arm 
, Employee Loses Fingers In Engine 
, Employee'S Finger Is Amputated N Punch Press 
, Employee Amputates Finger While Using Mechanical Power Press 
, Truck Driver Is Killed When Pinned Between Two Trucks 
, Employee'S Fingers Are Amputated In Belt System 
, Employee Is Killed When Caught By Rotating Truck Parts 
, Employee'S Hand Is Amputated When Caught In Machine 
, Two Employees Are Injured By Falling Flywheel 
, Employee'S Foot Is Crushed When Bottle Jack Slips 
, Employee Amputates Finger In Clutch 
, Employee Crushed By Work Vehicle 
, Employee Amputates Fingers When Caught In Gear And Sprocket 
, Employee'S Fingertip Is Amputated In Machine 
, Employee Is Killed By Falling Drive Apparatus 
, Employee Is Killed When Struck By Pipe Wrench 
, Employee Is Crushed And Killed Between Two Vehicles 
, Employee'S Finger Amputated While Trying To Catch Rod 
, Employee Killed When Crushed Between Crawlers 
, Fingers Amputated In A Mechanical Power Press 
, Worker Is Crushed By Coal Car And Chute 
, Employee Is Killed After Riding On Conveyor 
, Employee'S Arm Is Crushed In Conveyor Rollers 
, Employees Are Killed And Injured In Steam Line Rupture 
, Three Employees Are Injured In Coal Dust Explosion 
, Two Employees Are Killed In Well Explosion; One Is Injured 
, Employee Killed In Fire Box Explosion 
, Employee Fell Through Grate Into Coal Cracker And Died 
, Employee Killed After Being Run Over By Coal Car 
, Employee Killed In Coal Dust Explosion 
, Employee Killed When Crushed Between Coal Hopper And Bunker 
, Employee Killed In Fall After Being Struck By Metal Bar 
, Employee Killed When Crushed Between Larry Car And Coal Bunk 
, Employee Crushed By Railroad Car 
, Struck By Coal Handling Equipment 
, Employee Caught Between Railroad Coal Cars 
, Coal Pulverizer Explosion At Power Generating Station 
, Crushed By Coal Crusher Screen 
, Coal Dust Explosion 
, Six Employees Killed In Explosion 
, Coal Dust Explosion At Utility Plant Injured 17 Employees 
, Burn 
, Burn 
, Charcoal Dust Ignited; Flash Fire Burned Employees 
, Coal Dust Explosion At Electric Utility Plant 
, Arm Caught In Conveyor Belt 
, Coal Tar Pitch Dust Explosion And Fire 
, Coal Dust Explosion 
, Cone Inside Coal Silo Failed 
, Burn 
, Employee Fatally Crushed By Coal Hopper 
, Employee Dies Of Suffocation In Coal Hopper 
, Employee Killed When Buried In Coal Hopper 
, Partially Buried By Coal In Coal Hopper 
, Employee Dies When Coal Surface Collapses  Burying Him 
, Intoxicated Employee Suffocates After Falling Into Coal Bin 
, Employee Injured In Fall Inside Coal Bunker 
, Impaled After Fall From Girder 
, Explosion While Cleaning Tank Car Containing Flammable Waste 
, Employee'S Hand Burned By Flowing Coal Tar Pitch 
, 4 Employees Burned When Coal Tar Vapors Ignited 
, Exposed To Toxic Fumes In Sewer Pipeline 
, Employee Dies From Natural Causes After Fall 
, Employee'S Left Pinky Finger Amputated In Mvt Chamber 
, Employee Is Killed When Crushed By Machinery 
, Employee Is Killed In Flash Fire; Another Is Burned 
, Employee Amputates Fingers In Extruder 
, Employee Amputates Finger Pinched Between Pipe And End Cap 
, Employee Exposed To Acid  Thumb Required Amputation 
, Employee Killed By Heart Attack After Chemical Exposure 
, Employee Suffers Lacerated Hand When Operating Machine 
, Employee'S Arm Caught In Press Rolls 
, Employee Injures Arms In Laminating Machine 
, Employee Killed When Caught Between Strip And Roll 
, Employee'S Thumb Amputated When Caught In Tunnion Roller 
, Employee Suffers Chemical Burns 
, Employee Injured When Burned By Hot Tar 
, Employee Injured When Steel Staves Tipped Over On Him 
, Employee Injured When Steel Staves Tipped Over 
, Employee Is Killed When Caught In Feed
, Employee Dies Of Asphyxia When Caught In Water Intake Valve 
, Employee Killed When Struck In Head By Backhoe 
, Employee Killed In 30 Ft Fall From Sheet Piling 
, Struck On The Head By Heavy Iron Piling 
, Employee Burned By Steam From Coke Drum 
, Hot Materials From Coke Drum Strikes And Burns Worker 
, Employee Is Burned When Water And Coke Erupts From Drum 
, Employee Injured While Cutting In Coke Drum 
, Employee Burned By Discharge Of Hot Water In Coker Drum 
, Employee Injured In Fall While Escaping Oil Refinery Fire 
, Employee Burned By Material From Coke Trap 
, Employee'S Fingers Amputated By Falling Hydraulic Jack 
, Employee Killed In Coker Fire 
, Employee'S Leg Burned By Hot Water 
, Three Employees Burned To Death In Hydrocarbon Fire 
, Employees Scalded By Escaping Steam Mist In Coker Drum 
, Burned To Death By Hot Water From Coke Drum 
, Employee Is Injured When Struck By Larrycar 
, Two Employees Are Burned In Explosion At Coke Oven 
, Employee Is Crushed Between Rail And Equipment And Killed 
, Employee Is Burned In Coke Oven; Later Dies 
, Employee Killed When Pinned Between Coker Tubes 
, Employees Injured And Killed In Coke Oven Fire 
, Employee Incinerated By Release Of Hot Coke 
, Employee Caught Between Coke Oven Door And Buckstay Dies 
, Two Employees Inhale Hydrocarbons 
, Employees Suffer Hot Water Burns  One Hospitalized 
, Employee Killed When Caught Between Industrial Vehicles 
, Employee Killed When Crushed By Equipment 
, Struck By Coke Oven Locomotive 
, Crushed Between Coke Oven Door And Side Of Coke Oven 
, Buried By Coal Slide 
, Man Crushed Between Coke Oven Door And Door Machine 
, Fall From Scaffold 
, Employee Collaspes During Lunch Period Is Pronounced Dead 
, Employee Collaspes While Sweeping Warehouse  Pronounced Dead 
, Employee Is Struck By Collapsed Shelving And Is Injured 
, Employee Collapses While Harvesting  Later Dies 
, Employee Fractures Bones In Fall From Elevation 
, Employee Is Injured When Struck By Vehicle 
, Employee Falls From Flat Bed  Sustains Fractures 
, Employee Is Injured When Struck By Equipment 
, Employee Fractures Collarbone In Roof Fall 
, Employee Is Injured In Fall From Ladder 
, Park Ranger Is Injured When Cart Rolls Over 
, Employee Is Injured When Forklift Rolls Over 
, Employee Is Injured In Fall From Bleachers 
, Forklift Operator Hits Metal Rack And Crushes Foot 
, Employee Is Crushed Between Vehicles And Later Dies 
, Two Employees Sustain Lacerations And Injuries In Collision 
, Employee Is Knocked Down By A Forklift And Hits His Head 
, Employees Are Injured In Vehicle Rear End Crash 
, Employee Gets A Leg Injury From A Forklift Collision 
, Employee Is Killed In Vehicle Collision 
, Employee Is Killed In Motor Vehicle Collision 
, Two Employees Collide In Trucks  Sustain Fractures  One Dies 
, Employee Dies In A Vehicle Accident 
, Forklift Driver Injured In Collision With Metal Rack 
, Employee Is Killed In Vehicle Crash 
, Employee Is Struck By Pallet Jack  Receives Rib Fractures 
, Employee'S Thumb Is Crushed And Amputated By Plate Girder 
, Employee'S Foot Is Crushed By Forklift 
, Employee Receives Burns In Flash Fire 
, Two Workers Die From Burns Received When Metal Dust Ignites 
, Employee Receives Severe Burn In Explosion 
, Worker Suffers Second And Third Degree Burns From Blast 
, Worker Operating Bobcat Is Engulfed In Flames And Dies 
, Employee Is Burned When Gunpowder Ignites 
, Employee Is Burned While Burning Debris 
, Employee Is Burned In Magnesium Flash Fire 
, Grain Dust Explosion Burns And Injures Three Workers 
, Employee Burned When Dust Collector Explodes 
, Employee Is Not Injured By Flash Fire While Mixing Chemicals 
, Employee Is Burned Collecting Combustible Wood Dust 
, Three Employees Injured In Dust Explosion 
, Employee Is Burned When Combustible Powder Explodes 
, Six Employees Died From Combustible Dust Explosion 
, Explosion Occurs At Tear Gas Manufacturing Facility 
, Welder Is Killed In Explosion While Cutting Fuel Tank 
, Employee Is Injured By Combustible Explosion 
, Three Employees Are Burned By Flash Fire  One Later Dies 
, Employee Dies From Explosion And Burn Injuries 
, Driver Is Burned By Hot Oil During Transfer Operation 
, Employees Are Burned In Tank Explosion 
, Employees Burned While Cleaning Asphalt From Truck 
, Employee Dies Of Heart Attack After Being Burned 
, Employee Dies From Burns When Contacts Open Flame Heater 
, Employees Are Burned By Hot Liquid Mixture 
, Employee Dies From Flash Fire Burns 
, Employee Is Injured When Combustible Fluid Ignites 
, Employee Receives Second
, Employee Dies From Body Burn Complications 
, Employee Is Burned When Torch Ignites Drum Contents 
, Employee Is Injured When Struck By Earth
, Employee Killed While Deep Sea Diving 
, Two Workers Died Due To Malfunctioning Respiratory Devices 
, Employee Drowned In Diving Accident 
, Employee Suffered A Heart Attack 
, Employee Dies During Dive In Water Storage Tank 
, Two Employees Drown During Salvage Dive 
, Diver Drowns While Untangling Crab Lines 
, Employee Drowns During Commercial Dive 
, Employee Drowns After Vomiting During Commercial Dive 
, Diver Drowns After Becoming Entangled In Fishing Net 
, Diver Drowns  Complications Possible 
, Employee Drowns While Scuba Diving 
, Diver Trainee Drowns In Rough Water While Scuba Diving 
, Commercial Diver Drowns In Rough Water 
, Employee Drowns While Commercial Diving 
, Employee Drowns Retrieving Golf Balls From Pond 
, Diver Died Of Asphixia 
, Employee Is Killed From Blunt Force Trauma 
, Employee Dies In Fall From Communication Tower 
, Employee Is Found Unconscious On Floor  Later Dies 
, Employee'S Hand Is Pulled Into Pulley System  Crushes Thumb 
, Worker Suffers Probable Heart Attack And Dies 
, Employee Is Struck By And Killed By Choke Log 
, Cable Installer Injured In Fall From Ladder  Lands On Fence 
, Telephone Repair Worker Sustains Fracture When Ladder Falls 
, Employee Receives Injuries In Fall From Ladder 
, Crane Operator
, Employee Contacts Power Line And Is Electrocuted 
, Telephone Cable Installer Is Injured When Ladder Falls 
, Worker Sustains Head Fracture When Ladder Falls 
, Service Tech Is Injured In Fall From Ladder 
, Phone Line Released From Fallen Tree Catapults Employee 
, Employee Fractures Leg Falling From Ladder 
, Employee Fractures Leg In Fall From Ladder 
, Worker Breaks Both Ankles In Fall From Ladder 
, Employee Falls From Utility Pole When Gaff Loses Grip 
, Employee Is Killed In Fall From Communication Tower 
, Employeefalls Off Ladder And Is Injured 
, Employee Struck By Overturned Bucket Truck  Later Dies 
, Truck Strikes Guy And Ejects Worker From Aerial Lift 
, Employee Is Electrocuted And Is Killed 
, Electric Shock 
, Cable Television Worker Carrying Ladder Is Killed By Fall 
, Employee Suffers Frostbite In Fingers While In Freezer 
, Employee Falls From Forklift And Fractures Skull 
, Employee Slips And Falls In Kitchen  Fracturing Wrist 
, Employee Is Injured In Fall Throught Ceiling 
, Employee Is Burned By Hot Grease 
, Nonemployee Is Exposed To Carbon Monoxide 
, Employee'S Leg Is Broken By Pallet Jack 
, Employee With Medical Condition Dies While Zoning Freezer 
, Employee Suffers Freezer Burns  Frost Bite  Is Hospitalized 
, Employee Is Injured When Struck By Falling Stock 
, Employee Is Suffocated When Buried In Bauxite 
, Employee Falls From Forklift And Is Injured 
, Employee Is Injured In Fall From Forklift 
, Employee Is Asphyxiated While Repairing Freezer  Later Dies 
, Employee Is Killed When Struck By Falling Pallets 
, Employee Fractures Leg When Cylinders Fall 
, Employee Is Fatally Struck By A Pipe 
, Worker Is Killed While Inflating Tire 
, Diesel Tank Ruptures  Striking And Killing Worker 
, Worker Inflating Tire Fractures Pelvis When Sidewall Fails 
, Worker Is Burned From Flash Explosion In Fuel Line 
, Employee'S Fingers Are Amputated Cleaning A Machine 
, Employee'S Finger Is Amputated When Caught Between Parts 
, Automotive Mechanic Is Struck And Killed By Suspension Part 
, Employee Dies When Cylinder Explodes 
, Employee'S Finger Is Amputated Between Cylinder And Cart 
, Employee Is Injured In An Explosion 
, Compressed Gas Cylinder Ruptures  Amputates Worker'S Legs 
, Employee Fractures Leg After Cart Tips Over Onto Leg 
, Employee Burned Hand And Arm In Valve Fire 
, Employee Is Killed When Compressed Gas Tank Explodes 
, Three Employees Are Burned By Propane Ignition 
, Employee Is Injured When Helium Tank Explodes 
, Employee Is Struck And Killed By Fire Supression Cylinder 
, Employee Is Injured In Explosion 
, Employee Is Burned While Lighting Water Heater 
, Employee Is Killed While Filling Scba Cylinder 
, Acetylene Cylinder Explosion Injures Employee 
, Flash Fire Burns Employee 
, Employee Injured While Spiking Gas Cylinders 
, Employee Burned With Premature Discharge Of Compressed Gas 
, Employee Loses Finger In Compression Fan 
, Employee Is Stuck In The Face When Strut Break  Fracture Jaw 
, Employee Gets Finger Crushed 
, Employee'S Finger Is Pinched In Exspansion Joint  Amputated 
, Air Arching Burns Employee 
, Employee Injured Eye With Pressure Hose 
, Employee Injures Back When Pinned By Cart 
, Employee Amputates Fingertip In Air Compressor 
, Employee Fractures Leg When Air Compressor Falls 
, Employee Is Killed By Electric Shock 
, Eight Employees Are Injured In Fall Off Scaffold 
, Employee Faints After Finishing Concrete  Later Dies 
, Employee Trips On Stairs  Hits Head  Later Dies 
, Employee Is Crushed And Killed When Concrete Slab Falls 
, Truck Crash Kills Driver  Injures Second Worker 
, Employee Sustains Multiple Injuries In Fall 
, No Employees Are Injured In Accident 
, Employee Killed When Crushed Between Travelift And Product 
, Employee Killed When Struck By Falling Concrete Beam 
, Employee Dies When Struck By Falling Precast Concrete Beam 
, Workers Finger Got Caught Between Two Concrete Blocks 
, Employee Is Killed When Forklift Overturns 
, Employee Is Crushed And Killed When Struck By Falling Load 
, Employee Is Killed When Pinned Under Forklift 
, Employee'S Finger Gets Crushed 
, Woman Is Killed By Falling Concrete Blocks 
, Employee Is Struck By Falling Block  Fractures Pelvis  Knee 
, Employee Is Struck By Falling Objects  Suffers Concussion 
, Employees Are Injured In Wall Collapse 
, Damaged Valve Releases Energy And Injures Employee'S Foot 
, Worker Amputates Fingers When Machine Starts Up 
, Employee Is Burned When By Hydraulic Fluid Fire 
, Employee'S Spine Is Fractured In Fall From Scaffold 
, Employee Injures Hand While Operating Concrete Block Machine 
, Employee'S Leg Is Fractured When Caught In Conveyor 
, No Injuries Reported When Crane Tipped Over 
, Employee Killed By Descending Cement Bucket 
, Employee Killed When Struck By Falling Objects 
, Employee Struck And Killed By Falling Concrete Bucket 
, Employee Injured When Pinned By Concrete Buggy 
, Four Employees Injured By Collapsed Deck 
, Employee Killed In Fall From Suspended Concrete Bucket 
, Employee'S Buttocks And Rectum Impaled By Rebar 
, Fall From Work Platform 
, Electric Shock 
, Electric Shock 
, Electric Shock 
, Electric Shock 
, Two Employees Struck By Load  One Killed  One Fractures 
, Driver Sustains Fractures When Concrete Truck Topples 
, Employee Dies From Heat Exhaustion 
, Employee Fractures Vertebrae In Fall From Concrete Mixer 
, Chunk Of Hardened Concrete Falls  Strikes And Fractures Leg 
, Employee'S Thumb Amputated When Caught In Cement Mixer 
, Employee Faints From Exposure To Carbon Monoxide Fumes 
, Employee Tumbles Inside Concrete Mixer And Dies 
, Employee Is Struck  Run Over And Killed By Truck 
, Employee Is Killed In Rotary Concrete Mixer 
, Employee Is Crushed And Killed By Concrete Mixer Drum 
, Employee Is Injured When Pinned By Machinery 
, Construction Worker Is Struck And Killed By Falling Part 
, Employee Dies Falling From High Scaffold 
, One Employee Is Killed  Another Is Injured In Wall Collapse 
, Employee'S Leg Fractured When Struck By Falling Panel 
, Employee Is Killed When Struck By Concrete Panel 
, Employee Sustains Brain Injury In Fall From Scissor Lift 
, Employee Injures Leg When Struck By Precast Wall Panel 
, Falling Concrete Panel Crushes And Kills Employee 
, Employee Suffers Fracture In Golf Cart Accident 
, Employee Slips And Falls During Manufacturing Operation 
, Employee Partially Amputates Arm In Concrete Pumping Machine 
, Employee Is Killed When Struck By Truck Boom 
, Employee Has Foot Fractured By A Granite Slab 
, Worker Falls From Stepladder And Fractures Pelvis 
, One Employee Dies  Second Is Injured When Struck By Truck 
, Warehouseman Suffers Multiple Fractures In Fall 
, Employee Dies After Striking Head On Floor 
, Employee Trips And Falls On A Concrete Slab 
, Employee Is Killed During Winch Removal 
, Employee Crushed By Forklift Dies 
, Employee Is Injured When Cement Truck Rolls Over 
, Employee Is Injured When Truck Hit An Overpass 
, Concrete Truck Driver Struck And Killed In Work
, Employee Is Injured When Concrete Delivery Truck Overturns 
, Employee Fractures Hip In Auto Lift Accident 
, Employee Backed Over By Truck 
, Worker Is Killed In Slip And Fall On Icy Surface 
, Warehouseman Is Killed In Fall From Cherry
, Worker Cleaning Concrete Truck Is Caught And Killed 
, Employee Is Injured When Loading Ramp Collapses Under Truck 
, Employee Is Struck By Rachet Strap  Sustains Concussion 
, Employee Slips And Falls  Sustains Unconsciousness  Seizure 
, Employee Hits Head On Crossbar  Sustains Head Trauma 
, Two Employees Struck By Sheet Metal Suffer Fractures 
, Employee Injures Head While Replacing Bolts On Machinery 
, Employee Suffers Concussion And Fractures In Fall From Truck 
, Employee Falls Moving Cargo  Suffers Concussion 
, Employee Is Killed In Grain Elevator Explosion 
, Employee Suffers Concussion When Plywood Falls On Him 
, Worker Falls From Ladder And Sustains Multiple Injuries 
, Employee Injured By Electrical Shock From Necklace 
, Electric Shock 
, Electric Shock 
, Employees Burned In Chemical Fire 
, Employee Injured When Scalded By Steam/Water 
, Employees Overcome By Release Of Hazardous Materials 
, Electric Shock 
, Employee Crushed And Killed When Conduits Rolls Off Trailer 
, Employee Suffers Burns In Switchboard Accident 
, Employee Is Injured When Struck By Cable 
, Employee Falls With Lift And Later Dies 
, Employee Is Burned While Repairing Heating System 
, Employee Amputates Finger In Blower'S Moving Parts 
, Employee Is Killed While Troubleshooting Motor 
, While Clearing A Misfeed  Worker Becomes In Entrapped 
, Employee Falls Down A Twenty Feet Shaft 
, Worker Is Asphyxiated When Cryogenic Box Lid Fails 
, Employee Is Killed When Crushed Inside A Molding Machine 
, Employee Dies From Illness Not Related To Employment 
, Employee Fractures Leg In Fall From Ladder 
, Employees Are Injured In Rotating Equipment 
, Employee Is Killed In Engulfment In Grain Bin 
, Three Employees Are Killed In Explosion In Well 
, Employee Suffers From Bacterial Meningitis  Not Work Related 
, Employee Suffers Fracture When Trailer Falls Off Yard Truck 
, Employee Is Pinned And Injured Between Lift And Container 
, Employee'S Ankle Is Broken In Fall From Loading Dock 
, Employee Is Injured In Fall From Shipping Container 
, Employee Fractures Arm In Fall Through Unguarded Opening 
, Tow Truck Driver Is Injured In Roll
, Employee Is Struck And Killed By Falling Reefer 
, Employee Pinned Between Forklift And Tug  Receives Injuries 
, Employee Caught Between Platform And Conveyor  Asphyxiated 
, Employee Is Killed In Traffic Accident With Cargo Cart 
, Employee Is Run Over By Containiner  Later Dies 
, Employee Is Injured In Fall From Forklift 
, Employee Is Injured In Fall From Unstable Load 
, Employee Is Killed When Run Over By Truck 
, Employee'S Finger Is Crushed Between Containers 
, Employee Amputates Finger When Caught Between Lever Gate 
, Electrician Fractures Foot And Leg In Fall From Truck 
, Employee Amputates Finger On Concrete
, Employee'S Finger Are Crushed In Press 
, Employee Dies When Crushed By Powered Industrial Truck 
, Employee Is Run Over By Industrial Truck  Fracturing Foot 
, Employee Fractures Vertebrae In Fall From Chill Box 
, Employee Is Killed When Head Is Crushed By Fork Lift Truck 
, Employee Amputates Two Fingers While Operating Machinery 
, Forklift Operator Amputates Finger While Dumping Hopper 
, Agricultural Worker Sustains Lacerations In Twin Augers 
, Employee Is Injured When Pinned Between Forks And Ceiling 
, Employee Is Killed When Caught By Rotating Shaft 
, Employee'S Hand Is Injured When Shot With Tazer Gun 
, Crane Operator Injured When Malfunctioning Crane Overturns 
, Employee Burned By Hot Tar 
, Employee Is Struck By Flying Log Part And Is Injured 
, Power Line Worker Is Injured In Fall From Utility Pole 
, Employee Lacerates And Bruises Leg In Fall From Platform 
, Employee Injures Ribs And Punctures Lung In Fall From Truck 
, Two Employees Suffer Lacerations When Fire Work Explodes 
, Employee Injured After Being Struck By Forklift 
, Employee'S Hand Is Caught In Conveyor And Is Injured 
, Worker Injures Foot While Cleaning Grain Screw Conveyor 
, Employee Amputates Thumb When Caught In Sorter Conveyor 
, Employee Is Caught By Conveyor  Later Dies 
, Employee Amputates Finger And Lacerates Hand In Conveyor 
, Employee'S Hand Gets Fractured By Conveyor Belt 
, Employee Falls From Conveyor  Fractures Rib 
, Employee Is Killed When Caught In Lumber Mill Conveyor 
, Employee Fractures Arm When Caught By Roller And Conveyor 
, Employee Gets Broken Fingers And Lacerations From Conveyor 
, Employee Fingers Are Crushed When Caught In Conveyor 
, Employee Burns And Fractures Hip And Knee In Slip And Fall 
, Employee Fractures Wrist And Forearm In A Food Grinder 
, Two Employees Receive Burns From Spray Can Explosion 
, Jammed Hot Tortilla Press Burns Employee'S Right Hand 
, Cook Gets Electric Shock While Cleaning Used Cooking Oil 
, Cook Is Burned By Hot Oil Spilled From Deep Fryer 
, Employee'S Finger Is Amputated In Cooker 
, Cook Is Burned When Propane Stove Flashes When Lit 
, Employee'S Body Is Burned With Hot Oil 
, Employee Is Burned By Boiling Water 
, Employee Experiences Heat Exhaustion While Grilling 
, Employee Is Burned By Steam Kettle 
, Employee Is Burned When Splashed By Hot Oil 
, Employee'S Hand Is Injured When Lid Closes 
, Employee Burns Arm And Chest With Hot Water From Pot 
, Employee Suffers Serious Burns While Sanitizing Evaporator 
, Employee Is Burned When Splashed With Hot Oil 
, Employee Burns Hand In Cooking Oil 
, Employee Is Burned By Hot Oil From Pressure Cooker 
, Employee Burned By Steam And Hot Milk Products 
, Three Employees Are Burned By Hot Cooking Oil 
, Employee Injured When Burned By Pressure Fryer 
, Employee Burned By Hot Cooking Oil 
, Employee Killed When Burned By Steam 
, Employees Splashed And Burned By Hot Grease 
, Employee Suffers Head Trauma In Fall From A Cooling Tower 
, Employee Is Injured In Fall From Fixed Ladder 
, Employee Is Injured By Exploding Pipe 
, Employees Contract Disease From Cooling Tower Water 
, Employee Is Killed When Contacting Energized Equipment 
, Employee Falls From Access Ladder While Repairing Cooler 
, Employee Injured By Fall While Working On Cooling Fan 
, Employee Is Killed From Electrocution 
, Employee Killed In Fall From Cooling Tower 
, Five Employees Injured Falling From Cooling Tower 
, Employee Falls While Rebuilding A Cooling Tower 
, Employee Killed When Caught Between Drum And Frame Member 
, Employee Fell From Cooling Tower 
, Employee Injured While Working On Cooling Tower 
, Employee Killed In Fall From Cooling Tower 
, Reactor Vessel Cracks And Releases Nitrobenzene 
, Employee Injures Hip In Trip And Fall On Cord From A Printer 
, Employee Falls As Her Foot Gets Tangled In Cord 
, Employee Fractures Hip In Trip Over Equipment Cord 
, Electrician Is Injured When Struck By Falling Equipment 
, Employee'S Hand Is Broken When Entangled By Cord 
, Employee Trips And Falls In Hospital 
, Employee Is Electrocuted By Welding Machine 
, Employee Is Electrocuted While Connecting Wires 
, Employee Cuts Thigh While Using Skill Saw 
, Electric Shock 
, Employee Killed In Fall Through Catamaran Opening 
, Employee Sustained Injuries In Fall From Platform 
, Electric Shock 
, Electric Shock 
, Employee Falls On Extension Cord  Fractures Hip  Arm  Pelvis 
, Employee Is Found Dead Hanging In A Tree By The Neck 
, Employee Is Electrocuted After Contact With Extension Cord 
, Corrections Officer Trips Over Cord And Fratures Ankle 
, Employee Is Injured In Trip And Fall 
, Employee Is Electrocuted By Extension Cord 
, Employee Electrocuted While Plumbing In Crawl Space 
, Electric Shock 
, Electric Shock 
, Worker Receives Electric Shock While Using A Hand Grinder 
, Employee Is Killed In Grain Bin 
, Four Employees Are Killed  Two Are Injured In Explosion 
, Employee Is Suffocated In Corn Silo 
, Employee Dies While Shoveling Corn 
, Employee Is Killed By Engulfment In Corn Storage Bin 
, Employee Is Killed By Engulfment In Corn Storage Bin 
, Employee Is Found Dead In Feed Bin 
, Employee Is Asphyxiated By Corn And Is Killed 
, Employees Killed When Asphyxiated By Corn Pile 
, Migrant Farm Worker Dies From Hyperthermia 
, Employee Is Killed In Silo Engulfment 
, Employee Is Killed When Crushed By Loader 
, Employee'S Fingers Are Amputated In Corn Flour Hopper 
, Two Employees Are Engulfed In Corn And One Dies 
, Employee Is Asphyxiated When Engulfed By Corn Silage 
, Employee Asphyxiated While Working In Grain Silo 
, Employee Suffocated In Bin Auger 
, Employee Fatally Asphyxiated In Corn Bin 
, Employee Injured When Caught Between Vat And Sheet Metal 
, Employee Dies When Engulfed In Grain Storage Structure 
, Employee Dies After Cut By Machinery 
, Run Over By Corn Chopper 
, Employees Burned  Suffer Smoke Inhalation In Explosion 
, Six Employees Injured By Hexane Inhalation 
, Confined Space Entry
, Pressure Vessel Explodes  Kills Truck Driver 
, Employee Dies After Chemical Inhalation 
, Employee Is Burned In Fire While Cleaning Pipes With Diesel 
, Employee Suffers Electrical Shock 
, Employee Killed After Falling Into Skimmer Tank 
, Employee Fell Through A Corroded Roof Into A Tank 
, Four Employees Overcome By Carbon Dioxide When Valve Fails 
, Employee Injured In Fall Through Roof Panel 
, Employee'S Eye Injured When Splashed By Chemical 
, Employee Killed In Fall From Corroded Angle Iron 
, Three Employees Ill After Being Exposed To Chlorine 
, Cylinder Containing Nitrogen Bursts 
, Employee Killed When Leg Amputated In Alfalfa Tank 
, Employee Killed When Aluminum Reflector Collapses 
, Employee Killed In Fall Through Corroded Oil Tank Roof 
, Employee Drowns In Treatment Pit 
, One Employee Killed  Others Injured By Tank Rupture 
, Worker Handling Sulfuric Acid Falls And Receives Burns 
, Stepped Into Bucket Causing Chemical Burns 
, Employee Suffers Burns When Contacts Molten Sulfur 
, Employee Sustains Chemical Burns While Cleaning 
, Employee Is Splashed By Corrosive  Injures Eye And Skin 
, Employee Dies From Exposure To Tetrachloride Splash 
, Employee Is Injured When Splashed By Corrosive Chemical 
, Employee Is Burned By Sulfuric Acid 
, Employee Is Burned By Corrosive Chemical 
, Employee Receives Chemical Burns When Splashed By Acid 
, Employee'S Eyes Are Burned With Battery Acid 
, Employee Injured While Cleaning Corroded Terminal Post 
, Chemical Splashed In Employee'S Face 
, Employee Is Killed When Crushed By Rail Car 
, Employee Injures Arm In Apple Press 
, Employee Suffers Severe Laceration To Tip Of Right Fingers 
, Employee Killed In Fall From Tower 
, Employee Crushed By Tree Spade 
, Employee Struck In Chest By Access Panel 
, Struck By Flying Wood Chipper Cover 
, Employee Crushed And Killed By Falling Crane Boom 
, Five Employees Injured In Fall From Scaffold Platform 
, Struck And Crushed By Falling Hinged Floor Section 
, Employee Struck By Falling Hoist Block 
, Fall From Elevation Due To Rig Collapse 
, Farm Laborer Is Run Over And Killed By Cotton Trailer 
, Employee'S Fingers Are Amputated By Lint Cleaner Rollers 
, Employee Dies From Asthma Attack 
, Welder Is Burned While Operating Plasma Gouger 
, Worker Cleaning Tractor Falls From Elevation  Later Dies 
, Machinery Crushes Hand 
, Employees Suffer Severe Burns In Explosion 
, Employee Fractures Arm When Caught In Tarp Roller 
, Employee'S Ankles Are Fractured When Cotton Gin Starts Up 
, Employee Is Killed When Struck By Falling Bales 
, Worker Suffers Finger Injury In Lifting Accident 
, Employee Is Struck And Killed By Farm Equipment 
, Employee Is Struck On Head By Falling Cotton Bale 
, Employee Is Killed By Rotating Arm Of Press Machine 
, Employee Amputates Three Fingers Clearing Machine Jam 
, Employee Pinned As Truck Backs Into Him 
, Employee'S Finger Lacerated By Machine 
, Employee Is Killed When Crushed In Cotton Feeder 
, Employee'S Finger Amputated By Delinter 
, Employee Injured When Struck By Rotary Knife Of Cotton Gin 
, Employee Injured When Finger Caught Between Belt And Pulley 
, Employee Finger Amputated While Cleaning Press Tamper 
, Employee Head Crushed By Cotton Gin Press 
, Employee Killed When Buried By Cottonseed Mound 
, Employee'S Hand Amputated In Cotton Gin 
, Employee'S Fingers Amputated While Cleaning Cotton Gin 
, Employee Injured When Caught By Ram Of Cotton Pusher 
, Employee Crushed To Death By Cotton Gin Tramper 
, Employee'S Arms Caught In Cotton Gin Rollers 
, Employee Killed When Caught By Sprocket And Chain 
, Employee'S Face And Hands Burned In Cotton Gin Fire 
, Employee Injured When Foot Caught In Cotton Picker Machine 
, Employee Killed When Struck By Counterweight Of Pumping Unit 
, Electric Shock 
, Worker Is Hospitalized For Cough After Cleaning Rice Combine 
, Employee Dies At Hospital; Not Work Related 
, Driver Fractures Leg When Truck Leaves Road 
, Worker Is Hospitalized After Reacting To Cleaning Agent 
, Counselor Is Hospitalized After Chasing Detainee 
, Employee Suffers From Chemical Exposure And Is Hospitalized 
, Nurse Dies From Tuberculosis Infection 
, Eleven Employees Injured By Respiratory System Irritation 
